Unnamed: 0,Entry,Definition,Has_Greek
12,"אַב־,  אֶבְ־","  a prefix of words of Greek origin answering to αὐ-, au-, e.g. אבטומטוס = αὐτόματος; or to εὐ, e.g. אבגינוס = εὐγενής. | ",True
27,"אֶבְגִּינוֹס,  אֶוְוגִּינוֹס,  אֶוְגִּינֵס"," (corr. נֵיס—εὐγενής) of noble descent.  Koh. R. beg.; a. fr. (Midr. Till. to Ps. I אביינוס; Cant. R. beg. אווגיטוס, corr. acc.).—Pl. Yalk. Ps. 863 שהוא אֶוְגְּנֵסִין (read בן א') he is the son of nobles; Midr. Till. to Ps. CV בן גנסין (corr. acc.) cmp. גְּנִיס. | ",True
28,אֶבְגְּנִיסְטֵי," (read סְטָטֵי—), אֶוְוגִּינִיסְטָאטֵי m. pl. (εὐγενέστατοι) most noble.  Ruth R. to I, 2. Midr. Sam. ch. I. | ",True
39,אֶבְדּוֹקוֹס," (Εὔτοκος) Ebdocus (Eutocus).  Y. Meg. III, 74a bot. rendered in a secret political letter טוב ילד Good-Child. (Ed. קום—, קין—corr. acc.) | ",True
41,אֶבְדִּימוֹס," (Εὔδημος) Ebdimos, Eudemus.  Y. Keth. XI, 34b; mostly abbrev. אבדימא, אבדימי (corrupt. אבדומי, אבודמא, אבודמי), name of several Amoraim, the most prominent: Eb. of Zepphoris. Y. Ber. IV, 8a; a. fr. [V. Frankel Mebo, s. v.] V. וַרְדִּימוֹס. | ",True
51,"אבהנוס,  אבהונוס"," Y. Kil. III, 31c Ar. (ed. אבחטס, read אַמְבָּטִיס q. v. or אִיפּוֹבַּטֵיס (ἱπποβάτης) stallion ass for mares.  | ",True
90,אַבְטוֹלְמוֹס," (prob. Πτολεμαῖος, or Εὐπτόλεμος = Εὐπόλεμος) Abtolmos.  Erub. III, 4 (35a) ed. (Ms. M. אבטולס). Ib. 36a; Y. ib. 21a bot. אבטילס (v. Rabb. D. S. Erub. l. c., notes). Ex. R. s. 21 (אבטלוס) אבטוליס.—M. Kat. 18a אֲבִיטוּל (prob. abbrev. of our w.), surnamed ספראה (v. Rabb. D. S. a. l.), an Amora. | ",True
91,אַבְטוֹמְטוֹס," (αὐτόματος) self-moving, self-growing, spontaneous.  Midr. Till. to Ps. I, 5 האומרים א' הוא העולם Mus. (ed. טומטום, corr. acc.) who say the universe is a self-moving power (has no creator). [Better: אַבְטוֹמְטוֹן (αὐτόματον, S.) chance.] | ",True
92,*אַבְטוֹנִיּוֹת," (= אַבְטוֹנוֹמִיּוֹת; αὐτονομία; v. Sm. Ant. s. v. Autonomi) cities enjoying their own laws, jurisdictions.  Y. Meg. I, 70a bot. שני א' (read שתי). Y. B. Bath. III, 14a top אבטנ'; Bekh. 55a שני אבטילאות (corr. acc., Ar. אבטלאות, אבטליות). [Cmp. corruptions of אַגְרוֹנִימוֹס.] | ",True
97,*אבטיגא,", Var. חגה Sifré Deut. 80 (v. ed. Friedm. a. l. note 3), read טוֹגָא (toga) or טִיבִינָּא (τηβέννα) Roman toga.  | ",True
