Unnamed: 0,Greek Entry,Entry,Definition
158,abramis,אַבְרוֹמָה,"name of a fish mentioned in the Talmud, usually identified with the bream. [Prob. from Gk. abramis (= bream).]"
1081,achates,"אָכָטִיס,  אָכָט","agate. FW [From Gk. achates, which is of uncertain origin. The name of the river Achates is in Sicily, as well as the name of the faithful friend of Aeneas, prob. derived from Gk. achates.]"
1123,achromatos,אַכְרוֹמָטִי,"achromatic. FW [Gk. achromatos (= colorless), from privative pref. a- and chroma (= surface of the body, skin, color of the skin, color), which is related to chroia (of s.m.), chrozein (= to touch the surface of a body, to tinge, to color), from IE base *ghrōu-, *ghrō- (= to rub, smear, tinge), which is related to base *gher- (= to rub). See ‘chrism’ in my CEDEL. For the ending see suff. □ִי.]"
440,aer,אֲוִיר,"air. PBH [From Gk. aer (= air), of uncertain origin.] See ‘air’ (atmosphere) in my CEDEL and cp. words there referred to. cp. אֲוִירִיָּה, אֲוִירִיּוּת, אורר, אִוֵּר, אֲוִירַאי, אֲוִירָה, אֲוִירוֹן, אֲוִירִי.]"
236,agronomos,אַגְרוֹנוֹם,"agronomist. FW [Gk. agronomos (= rural), compounded of agros (= field) and nomos, from the stem of nemein (= to assign, manage; to drive cattle, to pasture). The first element is cogn. with L. ager (= field, land); see אַקֽר. For the second element see ‘nemesis’ in my CEDEL.]"
237,agronomos,אַגְרוֹנוֹמוֹן,", agoranome, superintendent of the market. PBH [Gk. agronomos, compounded of agora (= market) and nomos, from the stem of nemein (= to assign, manage). cp. אַגְרֶגָט and אַגְרוֹנוֹם.]"
1755,aisthetikos,אֶסְתֵּטִי,"esthetic. FW [Gk. aisthetikos (= perceptive), from aisthetos (= sensible, perceptible), verbal adj. of aisthaesthai (= to perceive), related to aio (= I hear; lit. ‘I perceive by the ear’), from IE base *awēi- (= to perceive). See אוֹדֽיוֹמֶטֶר and cp. אֲנֶסְתֶּסְיָה.]"
25232,akanthos,קוֹצִיץ,"acanthus (botany). NH [Formed from קוֹץ through reduplication of the צ, hence properly loan translation of Gk. akanthos, which is related to akanta (= thorn).]"
1991,akoustos,אֲקוּסְטִי,acoustic. FW [Gk. akoustos. See אֲקוּסְטִיקָה and suff. □ִי.]
2036,akra,אַקְרָה,"fortress, citadel. PBH [A loan word from Gk. akra (= end, point; esp.: the highest point, top of a hill, peak; citadel), properly subst. use of the f. of the adj. akros (= at the end, at the top, outermost), from ake (= edge), which is cogn. with L. ācer (= sharp). See ‘acrid’ in my CEDEL. cp. אַקְרוֹבָּט, אַקְרוֹבָּטִיקָה. cp. also אֲצֶטוֹן."
