Unnamed: 0,Greek Entry,Entry,Definition,ID
143,abax,אָבָק,"1) dust, powder. 2) touch of, shade of. [Together with Aram.-Syr. אַבֽקָא (= dust), prob. derived from אבק II and lit. meaning ‘that which flees or flies’. cp. the second element in שַׁאֲבָק. Gk. abax, gen. abakos (= a square tablet strewn with dust for drawing geometrical diagrams; reckoning board), is a Heb. loan word; see ‘abacus’ in my CEDEL.]",0
163,abracadabra,אַבְּרָקָדַבְּרָא,"a magic formula. FW [Late L., from Gk. abracadabra, in which word the letter c (= s) was misread for k. It was orig. written as a magic formula on abraxas stones, whence its name. See ‘abraxas’ in my CEDEL.]",1
158,abramis,אַבְרוֹמָה,"name of a fish mentioned in the Talmud, usually identified with the bream. [Prob. from Gk. abramis (= bream).]",2
1952,Acetyl,אֲצֶטִילֶן,"acetylene (chemistry). FW [Fren. acétylène, coined by the French chemist Marcelin-Pierre-Eugène Berthelot (1823–1907) from acetyl, from Gk. Acetyl, a hybrid coined by the German chemist Justus von Liebig in 1839 from L. acētum (see אֲצֵטוֹן) and suff. ‘-yl’.]",3
1081,achates,"אָכָטִיס,  אָכָט","agate. FW [From Gk. achates, which is of uncertain origin. The name of the river Achates is in Sicily, as well as the name of the faithful friend of Aeneas, prob. derived from Gk. achates.]",4
1123,achromatos,אַכְרוֹמָטִי,"achromatic. FW [Gk. achromatos (= colorless), from privative pref. a- and chroma (= surface of the body, skin, color of the skin, color), which is related to chroia (of s.m.), chrozein (= to touch the surface of a body, to tinge, to color), from IE base *ghrōu-, *ghrō- (= to rub, smear, tinge), which is related to base *gher- (= to rub). See ‘chrism’ in my CEDEL. For the ending see suff. □ִי.]",5
25072,aeidein,קוֹמֶדְיָה,"comedy. FW [L. cōmoedia, from Gk. komodia (= comedy), from komodos (= comic actor; orig. ‘singer in the komos or comic chorus’), contraction of komaoidos, which is compounded of komos (= revel, carousing, merrymaking, comic chorus), and aoidos (= singer). The first element is of uncertain origin. cp. קוֹמִי and אֲפִיקוֹמָן. The second element is related to Gk. aeidein (= to sing), aoide, ode (= song); see אוֹדָה.]",6
440,aer,אֲוִיר,"air. PBH [From Gk. aer (= air), of uncertain origin.] See ‘air’ (atmosphere) in my CEDEL and cp. words there referred to. cp. אֲוִירִיָּה, אֲוִירִיּוּת, אורר, אִוֵּר, אֲוִירַאי, אֲוִירָה, אֲוִירוֹן, אֲוִירִי.]",7
1034,aer,אֵירוֹבָּטִיקָה,"aerobatics. FW [Eng. aerobatics, coined on the analogy of aerobatics from Gk. aer (= air), and the stem of bainein (= to go). See אֲוִיר and אַקְרוֹבָּט.]",8
2132,aer,אַרְיָה,"aria (music). FW [It. aria (= air, melody), from L. āērea, f. of the adj. āēreus (= pertaining to air), from āēr (= air), which derives from Gk. aer (= air), which is of uncertain origin. cp. the second element in מָלָרְיָה. cp. also ‘air’ (atmosphere) and ‘air’ (melody) in my CEDEL.]",9
15679,aer,מָלַרְיָה,"malaria. FW [It. mal’aria, contraction of mala aria (= bad air), from mala, f. of malo, from L. malus (= bad), and aria, from Gk. aera, accusative of Gk. aer (= air). L. malus is of uncertain etymology. Gk. aer and the related ayra (= air in motion, breeze), are of uncertain origin. cp. אַרְיָה. cp. also ‘malaria’ in my CEDEL.]",10
15679,aera,מָלַרְיָה,"malaria. FW [It. mal’aria, contraction of mala aria (= bad air), from mala, f. of malo, from L. malus (= bad), and aria, from Gk. aera, accusative of Gk. aer (= air). L. malus is of uncertain etymology. Gk. aer and the related ayra (= air in motion, breeze), are of uncertain origin. cp. אַרְיָה. cp. also ‘malaria’ in my CEDEL.]",11
1513,agchone,אַנְגִּינָה,"angina (disease). [L. angina (= quinsy), prob. a loan word from Gk. agchone (= a throttling, strangling, hanging), which derives from agchein (= to squeeze, esp. the throat, strangle, throttle, hang), a derivative of IE base *anĝh (= to narrow, compress). The form angina (instead of ancina) is due to the influence of the related angere (= press together, throttle). See ‘anger’ in my CEDEL.]",12
1690,agein,אַסְטְרָטֶג,"strategist. PBH [Formed with prosthetic א□ from Gk. strategos (= leader of an army), which is compounded of stratos (= army), and agein (= to lead, guide, drive). See סַרְדְּיוֹט and cp. ‘strategy’ in my CEDEL. For the etymology of Gk. agein see אַקְטוּאָלִי.]",13
1519,aggareia,אַנְגַּרְיָה,"forced labor; seizure for public works. PBH [L. angaria (= service to a lord), from Gk. aggareia (= impressment for the public service), from aggaros (= mounted, courier, messenger), which is ultimately of Sem. origin. cp. Akka. agarru (= hireling, hired laborer), from agāru (= to hire), which is related to Aram. אֲגַּר, אֶגַּר (= he hired), whence Arab. ‘’ajara’ (of s.m.).]",14
22844,agra,פֶלַּגְרָה,"pellagra (disease). FW [It. pellagra, a hybrid coined from L. pellis (= skin), and Gk. agra (= a catching, seizure). For the first element see פִילְם, for the second element see פּוֹדַגְרָה.]",15
22320,agreein,פּוֹדַגְרָה,"podagra. PBH [Gk. podagra (= trap for the feet, gout in the feet), compounded of pous, gen. podos (= foot), and agra (= a catching, seizure). For the first element see פֵּדָר. The second element is related to Gk. agreein (= to take, catch), and cogn. with Old I. ār (= defeat). cp. the second element in פֶּלַגְרָה.]",16
236,agronomos,אַגְרוֹנוֹם,"agronomist. FW [Gk. agronomos (= rural), compounded of agros (= field) and nomos, from the stem of nemein (= to assign, manage; to drive cattle, to pasture). The first element is cogn. with L. ager (= field, land); see אַקֽר. For the second element see ‘nemesis’ in my CEDEL.]",17
237,agronomos,אַגְרוֹנוֹמוֹן,", agoranome, superintendent of the market. PBH [Gk. agronomos, compounded of agora (= market) and nomos, from the stem of nemein (= to assign, manage). cp. אַגְרֶגָט and אַגְרוֹנוֹם.]",18
239,agronomos,אַגְרוֹנוֹמְיָה,"agronomy. FW [Fren. agronomie, from Gk. agronomos. See אַגֽרוֹנוֹם.]",19
243,agros,אַגְרוֹפִּירוֹן,"agropyron (botany). FW [Modern L. Agropyron (lit.: ‘field wheat’), from Gk. agros (= field), and pyros (= corn, wheat).]",20
2176,Aigaion,אַרְכִיפֶּלָג,"archipelago. FW [It. arcipelago (lit.: ‘the chief sea’), compounded of arci– (= chief), from Gk. archi (= see אַרְכִי□), and pelagos (= sea). In ancient and mediaeval Greek the word archipelagos does not occur, in modern Greek it is an Italian loan word. The fact that archipelago orig. denoted the Aegean Sea may help us find the origin of this word, which is a real crux etymologorum. It. arcipelago very prob. arose a mistaking of Gk. Aigaion pelagos (= the Aegean Sea) for archipelagos (= the chief sea), a confusion suggested by the numerous Gk. words beginning with archi–.]",21
205,Aigyptos,אֶגִיפְּטוֹלוֹגְיָה,"Egyptology. FW [Compounded of Gk. Aigyptos (= Egypt), and logia (see □לוֹגְיָה).",22
1755,aisthetikos,אֶסְתֵּטִי,"esthetic. FW [Gk. aisthetikos (= perceptive), from aisthetos (= sensible, perceptible), verbal adj. of aisthaesthai (= to perceive), related to aio (= I hear; lit. ‘I perceive by the ear’), from IE base *awēi- (= to perceive). See אוֹדֽיוֹמֶטֶר and cp. אֲנֶסְתֶּסְיָה.]",23
2382,aither,אֶתֶר,"ether. FW [L. aether, from Gk. aither (= the upper, purer air), which, together with aithra (= the clean sky, fair weather), derives from aithein (= to burn). This verb derives from IE base *aidh- (= to burn), whence also L. aedēs (= a building sanctuary, temple). See ‘edify’ in my CEDEL and cp. words there referred to.]",24
787,aitiologia,אֶטְיוֹלוֹגְיָה,"etiology. FW [Late L. aetiologia, from Gk. aitiologia (= an inquiring into causes), from aitiologein (= to inquire into causes), from aitia (= cause), and logia (see □לוֹגְיָה.]",25
