Unnamed: 0,Entry,Definition,Has_Greek
0,א," The first letter of the Hebrew alphabet. The name of the letter is ‘Aleph’, and so called in allusion to its ancient Heb. form, representing the head of an ox (see אֶלֶף II, אַלּוּף VI, and cp. Akka. alpu, Arab. alif, Phoen. אלף, whence Gk. Alpha). In PBH it has the numerical value of one. א alternates with other gutterals, as with ה (see e.g. אָמוֹן, Jer. 52:15, instead of הָמוֹן), and with ע (see e.g. מְתָאֵב, Amos 6:5, instead of מֽתָעֵב). It also alternates with י (see e.g. צְבָאִים and צֽבָיִים, pl. of צְבִי). For the interchangeability of א and ה see also in the conjugational system Heb. הִפֽעִיל and Aram. אַפְעֵל, Heb. הִתֽפַּעֵל and Aram. אִתְפַּעֵל. א is used to form secondary verbs and nouns (see e.g. אבטח, אבחן, אַבְטָחָה, אַבֽחָנָה). In Aram. it also serves as the definite article (see □ָא I) and as the most common subst. and adj. suff. (see □ָא II).  | ",True
16,אֶבְגִינוֹס,"of noble descent, noble.  [Gk. eugenes (= well-born), from eu (= well), and genos (= race, descent, gender, kind), which is cogn. with L. genus (= birth, descent, origin, race, sort, kind, class; sex, gender). See ‘eu-’ and ‘genus’ in my CEDEL and cp. ‘eugenic’ ibid. cp. also אֶבְגֵּנִיקָה.] | ",True
17,אֶבְגֵּנִיקָה,"eugenics.  [Eng. eugenics, coined by Sir Francis Galton in 1883 from the adj. eugenic, which derives from Gk. eugenes (= well-born). See אֶבְגִּינוֹס | ",True
80,אַבְטִפּוּס,"archetype, prototype.  [A hybrid coined from Heb. אַב□ (= proto-) and Gk. typos (= blow, mark of a seal, pattern). See טִפּוּס (= type).] | ",True
99,אַבִּיק,"alembic, retort.  [Prob. from Gk. ambix (= cup, cup of a still, alembic). Whence also Arab. al-anbiq. Of uncertain origin. See ‘alembic’ in my CEDEL.] | ",True
141,אבק," to embrace, wrestle.  [Aram. אֲבַק (= he entangled, twisted). Prob. related to חבק. Some scholars derive נֶאֳבַק (= he wrestled) from אָבָק (= dust), so that its original meaning would have been ‘he got dusty (through wrestling)’, and compare the sentence וֶהֱוֵי מִתֽאַבֵּק בַּעֲפַר רַגְלֵיהֶם, ‘cover yourself with the dust of their feet’. For sense development refer to Gk. koniesthai (= to cover oneself with dust — said of wrestlers; whence the secondary meaning ‘to prepare for combat’), from konis (= dust). See אבק II. It is interesting that Joshua ben Levi gives both derivations of the verb וַיִּאָבֵק (Gen. 32:24), and that Rashi, in his commentary to this verse, connects וֵיֵּאָבֵק with Aram. אֲבַק, which is identical with the first derivation given by Joshua ben Levi.]  | — Qal . אָבַק  he embraced, clasped, wrestled with.  — Niph.  נֶאֱבַק  he wrestled, struggled, fought.  — Hith.  הִתֽאַבֵּק  (of s.m.).  ",True
143,אָבָק,"1 dust, powder. [Together with Aram.-Syr. אַבֽקָא (= dust), prob. derived from אבק II and lit. meaning ‘that which flees or flies’. cp. the second element in שַׁאֲבָק. Gk. abax, gen. abakos (= a square tablet strewn with dust for drawing geometrical diagrams; reckoning board), is a Heb. loan word; see ‘abacus’ in my CEDEL.] 2 touch of, shade of.  [Together with Aram.-Syr. אַבֽקָא (= dust), prob. derived from אבק II and lit. meaning ‘that which flees or flies’. cp. the second element in שַׁאֲבָק. Gk. abax, gen. abakos (= a square tablet strewn with dust for drawing geometrical diagrams; reckoning board), is a Heb. loan word; see ‘abacus’ in my CEDEL.]  | ",True
151,אַבֶּֽקֶת,"coniosis (disease).  [Formed from אָבָק (= dust), according to the pattern פַּעֶלֶת serving to form names of diseases (see אַדֶּמֶת). Properly a loan translation of Medical L. coniosis, from Gk. konis (= dust).] | ",True
158,אַבְרוֹמָה," name of a fish mentioned in the Talmud, usually identified with the bream.  [Prob. from Gk. abramis (= bream).] | ",True
159,אַבַּרְזִין,"1 a cover of skin. [Prob. from Avestic barezis (= cover). Some scholars derive אַבַּרֽזִין from Gk. bursinon (= leathern cover), from bursa (= hide, leather), which is of uncertain origin. cp. ‘burse’ in my CEDEL.]2tarpaulin.  [Prob. from Avestic barezis (= cover). Some scholars derive אַבַּרֽזִין from Gk. bursinon (= leathern cover), from bursa (= hide, leather), which is of uncertain origin. cp. ‘burse’ in my CEDEL.] | ",True
163,אַבְּרָקָדַבְּרָא,"a magic formula.  [Late L., from Gk. abracadabra, in which word the letter c (= s) was misread for k. It was orig. written as a magic formula on abraxas stones, whence its name. See ‘abraxas’ in my CEDEL.] | ",True
164,אַבְרָקַיִם," dual  PBH breeches.  [Formed with prosthetic אַ□ II from Gk. brakai, from L. brācae (= breeches), which is a Gaulish word borrowed from Teutonic. cp. Old Eng. brēc (= breeches), and see ‘breeches’ in my CEDEL.] | ",True
168,אֲגָבָה,"agave (plant).  [Modern L., named after Agave, the mother of Pentheus, in Greek mythology. For the etymology of this name see ‘Agave’ in my CEDEL.] | ",True
179,אֶגוֹ,"ego (psychology).  [L. ego (= I), cogn. with Gk. ego). See ‘I’ in my CEDEL.] | ",True
203,אַגְ׳יוֹ,"agio.  [It. aggio, agio, from lajjë, from Gk. allagion (= exchange), from allage (= change), which derives from the stem of allassein (= to change), from allos (= other). See ‘else’ in my CEDEL. The l in lajjë was mistaken for the It. definitive article and was accordingly dropped.] | ",True
205,אֶגִיפְּטוֹלוֹגְיָה,"Egyptology.  [Compounded of Gk. Aigyptos (= Egypt), and logia (see □לוֹגְיָה).  | ",True
236,אַגְרוֹנוֹם,"agronomist.  [Gk. agronomos (= rural), compounded of agros (= field) and nomos, from the stem of nemein (= to assign, manage; to drive cattle, to pasture). The first element is cogn. with L. ager (= field, land); see אַקֽר. For the second element see ‘nemesis’ in my CEDEL.]  | ",True
237,אַגְרוֹנוֹמוֹן,", agoranome, superintendent of the market.  [Gk. agronomos, compounded of agora (= market) and nomos, from the stem of nemein (= to assign, manage). cp. אַגְרֶגָט and אַגְרוֹנוֹם.] | ",True
239,אַגְרוֹנוֹמְיָה,"agronomy.  [Fren. agronomie, from Gk. agronomos. See אַגֽרוֹנוֹם.] | ",True
243,אַגְרוֹפִּירוֹן,"agropyron (botany).  [Modern L. Agropyron (lit.: ‘field wheat’), from Gk. agros (= field), and pyros (= corn, wheat).] | ",True
248,אֲגַרְטָל," vase, bowl, basin (occurring twice in the Bible, Ez. 1:9).  [Of uncertain origin. Prob. related to Aram. קַרֽטַלָּא, Gk. kartallos (= basket).] | ",True
256,אַגְרָרִי,"agrarian.  [Ultimately, from L. agrārius (= pertaining to land), from ager (= field, land), which is cogn. with Gk. agros (= field). See אַקֽר.] | ",True
282,אָדִישׁ,"indifferent, apathetic.  [Coined by Eliezer ben Yehudah (1858–1922) from Aram.-Syr. אֲדַשׁ (= he was silent, was indifferent), back formation from Syr. אַדְשָׁה (= form; species; idea), which is a loan word from Gk. eidos (= form, shape).] | ",True
318,אֶֽדֶר,"1 either a kind of a cedar or a kind of an oak. [Aram. אַדְרָא, perhaps related to Gk. kedros (= Acer).]2maple tree.  [Aram. אַדְרָא, perhaps related to Gk. kedros (= Acer).] | ",True
329,אֲדַרְכּוֹן,"an ancient Persian gold coin.  [A Persian loan word. cp. Avestic zaranya, Pers. zar (= gold) and see זַרְנִיךְ. cp. also Gk. dareikos (= a Persian gold coin), which is of the same origin as אֲדַרֽכּוֹן.] | ",True
361,אָהָל,"1 aloe. [Of uncertain origin. Perhaps borrowed from agaruh, aguruh (= aloewood), which are prob. of Dravidian origin. Gk. aloe (= aloe), is prob. a Heb. loan word. See ‘aloe’ in my CEDEL.]2an alkalic plant used as a soap. [Of uncertain origin. Perhaps borrowed from agaruh, aguruh (= aloewood), which are prob. of Dravidian origin. Gk. aloe (= aloe), is prob. a Heb. loan word. See ‘aloe’ in my CEDEL.]3mesembryanthemum (botany).  [Of uncertain origin. Perhaps borrowed from agaruh, aguruh (= aloewood), which are prob. of Dravidian origin. Gk. aloe (= aloe), is prob. a Heb. loan word. See ‘aloe’ in my CEDEL.] | ",True
368,אוֹאָזִיס,"oasis.  [Gk. oasis, of Egypt. origin. cp. Coptic ouahe (= oasis), whence also Arab. wāhah (of s.m., properly ‘dwelling place’), from ouah (= to dwell).] | ",True
373,אוֹבְּיֶקְט,"object.  [Med. L. objectum (lit.: ‘something thrown before’), neuter of L. objectus, p. part. of obicere (= to throw or put before or against), from ob (= toward, against, in the way of; about, before; on account of, instead of), and jacere (= to throw). See ‘ob-’ and ‘jet’ (= to spurt forth) in my CEDEL. Med. L. objectum is properly a loan translation of Gk. problema (= a problem; lit.: ‘something thrown before’).] | ",True
378,אוֹבֶּלִיסְק,"obelisk.  [Gk. obeliskos (= a small spit, an obelisk), dimin. of obelos (= a spit, needle, pointed pillar, obelisk), which is of uncertain origin.] | ",True
381,אוֹבַצְיָה,"ovation.  [L. ovātiō, from ovō, ovāre (= to exult, to triumph in ovation), which stands for *ewā yō, from the imitative base *ewā-, whence also Gk. euazein (= to utter cries of joy; lit.: ‘to cry eua‘ in honor of Bacchus’).] | ",True
392,אוֹדָה,"ode.  [Gk. ode, contraction of aoide (= song), which is related to aeido (= sing), which prob. is cogn. with aedon (= nightingale), aude (= voice, tone, sound), audao (= I talk, speak). cp. ‘ode’ and words there referred to in my CEDEL.] | ",True
393,אוֹדוֹנְטוֹלוֹגְיָה,"odontology.  [Compounded of Gk. odon (= tooth) and of - logia (see □לוֹגְיָה). Gk. odon was assimilated from edont, prob. orig. a pres. part. of IE base *ed- (= to eat), and lit. means ‘that which eats’. See ‘tooth’ in my CEDEL and cp. the second element in מַסְטוֹדוֹן.] | ",True
395,אוֹדְיוֹמֶטֶר,"audiometer.  [A hybrid coined from L. audīre (= to hear), and Gk. metron (= measure). See ‘audible’ and ‘meter’ (poetical rhythm), in my CEDEL. Cp. the first element in אוֹדִיטוֹרְיָה.] | ",True
397,אוֹדִיסֵיָה,"the Odyssey (used also figuratively for any long wanderings).  [Gk. Odysseia, from Odysseus.] | ",True
407,אוֹזוֹן,"ozone.  [Ger. Ozon, coined by the German chemist Christian Friedrich Schönbein in 1840 from Gk. ozein (= to smell); so called by him because of its strong smell. See ‘ozo-’ in my CEDEL.] | ",True
410,"אוֹטוֹ□,  אַבְטוֹ□"," (before a vowel אוֹט□, אַבְט□)  FW auto-, resp. aut-.  [Gk. auto-, resp. aut-, from autos (= self, same), which is of uncertain origin.] | ",True
411,"אוֹטוֹאֶמַנְצִיפַּצְיָה,  אַבְטוֹאֶמַנְצִיפַּצְיָה","autoemancipation.  [A hybrid coined from Gk. autos (= self, same; see אוֹטוֹ), and L. emancipātiō (see אֶמַנְצִיפַּצְיָה.] | ",True
412,אוֹטוֹבּוּס,"bus, omnibus.  [A hybrid coined from Gk. auto- (= self), and bus, shortened from omnibus, short for Fren. voiture omnibus (= vehicle for all). The term voiture omnibus was introduced by Laffitte in Paris in 1820, from L. omnibus (= for all).] | ",True
415,"אוֹטוֹגֶנִי,  אַבְטוֹגֶנִי","autogenous, self-generated.  [From Eng. autogenous, which was coined by the English biologist Sir Richard Owen in 1846 from Gk. autogenes (= self-produced), from auto- (see אוֹטוֹ□) and the stem of gennein (= to produce). See ‘-genous’ in my CEDEL. For the ending of אוֹטוֹגֶנִי see suff. □ִי.] | ",True
416,"אוֹטוֹדִידַקְט,  אַבְטוֹדִידַקְט","autodidact, one self-taught.  [From Gk. autodidaktos (= self-taught), from auto- (see אוֹטוֹ□) and didaktos (= taught), verbal adj. of didaskein (= to teach). See דִּידַקְטִיקָה.] | ",True
418,"אוֹטוֹמֹובִּיל,  אַבְטוֹמוֹבִּיל",automobile.  [Lit.: ‘moving of itself’. A hybrid coined from Gk. auto- (see אוֹטוֹ□) and L. mōbilis (= movable). See ‘movable’ in my CEDEL. The modern Greek calls it autokineto (= moved of itself).] | ,True
419,"אֹוטֹומָט,  אַבְטוֹמָט","automaton.  [Gk. automaton, neuter of automatos (= acting of one’s own will, happening of itself), compounded of auto- (see אוֹטוֹ□) and IE *mntós (= thinking), from base *men- (= to think), whence also Gk. mentor (= adviser). See ‘mind’ in my CEDEL.] | ",True
421,"אוֹטוֹנוֹמִי,  אַבְטוֹנוֹמִי","autonomous.  [Formed with adj. suff. □ִי from Gk. autonomos (= living by one’s own laws), which is compounded of auto- (see אֹוטֹו□) and nomos (= law). See ‘nomo-’ in my CEDEL.] | ",True
422,"אוֹטוֹנוֹמְיָה,  אַבְטוֹנוֹמְיָה","autonomy.  [Gk. autonomia (= independence), from autonomos. See אוֹטוֹנוֹמִי.] | ",True
426,אוּטוֹפְּיָה,"Utopia.  [Modern L. Utopia, coined by Sir Thomas Moore (1779–1852) from Gk. ou (= not), and topos (= place). See ‘topic’ in my CEDEL.] | ",True
427,אוֹטוֹקְלָב,"autoclave.  [Fren. autoclave (lit.: ‘self-locking’), a hybrid coined from Gk. auto- (see אוֹטוֹ□), and L. clāvis (= key). See ‘clavicle’ in my CEDEL.] | ",True
428,"אוֹטֹוקְרָט,  אַבְטוֹקְרָט","autocrat.  [Fren. autocrate, from Gk. autokrates (= ruling by oneself), which is compounded of auto- (see אוֹטוֹ□) and kratos (= strength, power, rule). See ‘-crat’ in my CEDEL.] | ",True
429,"אוֹטוֹקְרַטְיָה,  אַבְטוֹקְרַטְיָה","autocracy.  [Fren. autocratie, from Gk. autokrateia, from autokrates (see אוֹטוֹקְרָט).] | ",True
433,אוֹטַרְקְיָה,"autarky, self-sufficiency.  [Gk. autarkeia, from autarkein (= to be self-sufficient), which is compounded of auto- (see אוֹטוֹ□) and arkein (= to suffice), which is related to arkos (= defense), arkios (= safe, sure), and cogn. with L. arcēre (= to enclose, keep away, ward off). These words stand in gradational relationship to Orcus, name of the god of the infernal regions in Roman mythology. cp. קְסַרְקָט.] | ",True
440,אֲוִיר,"air.  [From Gk. aer (= air), of uncertain origin.] See ‘air’ (atmosphere) in my CEDEL and cp. words there referred to. cp. אֲוִירִיָּה, אֲוִירִיּוּת, אורר, אִוֵּר, אֲוִירַאי, אֲוִירָה, אֲוִירוֹן, אֲוִירִי.] | ",True
445,אֲוִירוֹבָּטִיקָה,"aerobatics.  [A hybrid coined on the analogy of Eng. aerobatics from אֲוִיר (= air), and the stem of Gk. bainein (= to go). Eng. aerobatics itself was coined on the analogy of acrobatics (q.v. in my CEDEL).] | ",True
