Unnamed: 0,Greek Entry,Entry,Definition
143,ἄβαξ (abax),אָבָק,"1 dust, powder. [Together with Aram.-Syr. אַבֽקָא (= dust), prob. derived from אבק II and lit. meaning ‘that which flees or flies’. cp. the second element in שַׁאֲבָק. Gk. abax, gen. abakos (= a square tablet strewn with dust for drawing geometrical diagrams; reckoning board), is a Heb. loan word; see ‘abacus’ in my CEDEL.] 2 touch of, shade of.  [Together with Aram.-Syr. אַבֽקָא (= dust), prob. derived from אבק II and lit. meaning ‘that which flees or flies’. cp. the second element in שַׁאֲבָק. Gk. abax, gen. abakos (= a square tablet strewn with dust for drawing geometrical diagrams; reckoning board), is a Heb. loan word; see ‘abacus’ in my CEDEL.]  | "
182,ἀβάσκαντα,אֲבַסְקַנְטָה," (ἀβάσκαντα) unbewitched! may no harm befall you! Y. Ab. Zar. I, end, 40b א' לא אמר he did not say abascanta, but etc. Y. Ber. IV, 13c top (corr. acc.).  | "
637,ἀβερτή,אֲוִירְטָא," (averta, ἀβερτή) knapsack. —Pl. אֲוִירְטִין. Tosef. Kel. B. Bath. IV, 10. | "
214,ἀβραμίς,"אברומא,  אבדומא","hash or brine of a certain fish (Ἀβραμίς?).  Succ. 18a (Ms. M. a. ed. אבד', v. Rabb. D. S. a. l.) [Rashi: ‘a very small fish’.] | "
158,ἀβραμίσ (abramis),אַבְרוֹמָה," name of a fish mentioned in the Talmud, usually identified with the bream.  [Prob. from Gk. abramis (= bream).] | "
163,ἀβρασάδαβρα (abracadabra),אַבְּרָקָדַבְּרָא,"a magic formula.  [Late L., from Gk. abracadabra, in which word the letter c (= s) was misread for k. It was orig. written as a magic formula on abraxas stones, whence its name. See ‘abraxas’ in my CEDEL.] | "
2934,ἀγάλλοχον,*אַקְסִילָאלִיאָיָין," (ξυλαλόη = ἀγάλλοχον) pieces of bitter aloë-wood.  Targ. Ps. XLV, 9 Ar. (ed. אַקְסִיל אַלוּאוֹן combine) (h. text אֲהָלוֹת). | "
2108,ἀγγαρεία,אַנְגַּרְיָא," (ἀγγαρεία, angaria) forced labor, service, esp. seizure for public services or works.  Y. Ber. I, 2d bot. איתצדית בא' וכ' I was pressed into service to carry myrtles &c. B. Mets. VI, 3 (78a) נעשית א' (the ass) was seized for public service. Ib. 78b בא' חוזרת in the case that the animal pressed into service is sent back again. Lev. R. s. 12 שמעון א' במדינתא they heard that seizure for public service was to take place in the country. Esth. R. introd. והלך זו א' hălakh (Ezra IV, 13) means angaria (v. אנגרוטינא). Snh. 101b; a. fr.—Pl. אַנְגַּרְיֹות. Lev. R. s. 23 אע""פ שהן נגבין … וא' though annonæ and angariæ are collected from them. Yalk. Esth. 1051 א' של נשים levies of women (for the king).—Trnsf. בא' as a forced labor, reluctantly. Midr. Till. Ps. CXII.—Pesik. R. s. 21 שלא באנגריס (corr. acc.) not as a forced labor. | "
1519,ἀγγαρεία (aggareia),אַנְגַּרְיָה,"forced labor; seizure for public works.  [L. angaria (= service to a lord), from Gk. aggareia (= impressment for the public service), from aggaros (= mounted, courier, messenger), which is ultimately of Sem. origin. cp. Akka. agarru (= hireling, hired laborer), from agāru (= to hire), which is related to Aram. אֲגַּר, אֶגַּר (= he hired), whence Arab. ‘’ajara’ (of s.m.).] | "
2105,ἀγγαρευτάς,"אַנְגְּרַבְטֵיס,  אַנְגְּרַוְטָא"," (ἀγγαρευτής, ἀγγαρευτάς) commissioner or superintendent of forced public labor; v. אַנְגַּרְיָא.  Pesik. B’shall. 92b אתמני א' (for Var. v. Bub., note) was appointed angareutes. | "
2105,ἀγγαρευτής,"אַנְגְּרַבְטֵיס,  אַנְגְּרַוְטָא"," (ἀγγαρευτής, ἀγγαρευτάς) commissioner or superintendent of forced public labor; v. אַנְגַּרְיָא.  Pesik. B’shall. 92b אתמני א' (for Var. v. Bub., note) was appointed angareutes. | "
2102,ἄγγελοι,"אַנְגְּלֵי,  אַנְגְּלַיָּא"," (ἄγγελοι, v. Perles Et.  St. p. 113) messengers, angels. Targ. Job XV, 15; a. e. | "
2181,ἀγγοθήκη,*אַנְטִיכִי," (ἀγγοθήκη, ἐγγυθήκη, lat.  mutilat. incitega) a receptacle for vessels, a stand for hanging in kettles, tripods &c. Sabb. III, 4 (41a); Gem. ib. one opin., בי כירי antichi (in the Mishnah) means a vessel suspended between fire places (heated bricks); another opin., בי דודי a metal vessel suspended within a caldron-like vessel, the vacant space beneath being filled with coals. Ib. (in evidence of the latter opin.) א' אע""פ שהיא גרופה וכ' Ms. M. (ed. אע''פ שגרופה וקטומה) an antichi, even when cleaned of coals &c. Y. Sabb. III, 6a bot. Tosef. Bets. III, 20. Y. ib. I, 60c bot. כהדא א' נפלת וכ' as in the case of an antichi which fell &c.—*M. Kat. 28b (in a funeral dirge) גוד גרמא מככא ונמטי מיא לא' take the bone (pin) out of the jaw (the base in which the vessel is suspended) and let water be put into the antichi, i.e. body and soul are now separated, the latter being the vessel going back to the (divine) spring; cmp. Koh. XII, 6 sq.; [Ms. M. … מבבא … לאנטוכיא, v. Rabb. D. S a. l. note.] | "
1690,ἄγειν (agein),אַסְטְרָטֶג,"strategist.  [Formed with prosthetic א□ from Gk. strategos (= leader of an army), which is compounded of stratos (= army), and agein (= to lead, guide, drive). See סַרְדְּיוֹט and cp. ‘strategy’ in my CEDEL. For the etymology of Gk. agein see אַקְטוּאָלִי.] | "
775,ἀγκαλίς,"אוּנְקְלַי, "," אָנְקְלַי f. (אנק, with ל format. ; = אוּנְקַי; corresp. to b. h. לוּלַי; Greek adapt. ἀγκολη, LXX Ex. XXVI, 10; cmp. אוֹנִי as to contact of the two languages) prop. little (camel’s) neck, hence 1)hook, rack.  Kel. XII, 2 א' של כתפין Ar. (ed. אונקליות, אונקלין with adject. in the sing., corr. acc.) the carriers’ hook attached to their yoke, pole &c. Ib. א' של דרגש the hook of the bedstead (used for fastening the girths to the posts); של נקליטין the rack of the bed-curtain, v. נַקְלִיטִין. Ib. 3 א' שבכותלים hook attached to walls.—T’bul Yom IV, 6 ואנ' שלהם קיימת and the hook (attached to the now broken yoke) remained unimpaired; a. fr.—Pl. אוּנְקְלָאוֹת, אָנְקְ', (אונקלין) אוּנְקְלִיּוֹת. Tam. III, 5; Mid. III, 5; a. fr.—Kel. l. c.; Tosef. ib. B. Mets. II, 4; v. אוּנְקַי.—2) [cmp. ἀγκαλίς in S.] the load carried on the hook, the farmer’s load of sheaves or bunches; cmp. בלונקי.  Tosef. Maas. Sh. IV, 10. כל הא' the whole load. [Ib. 11 אונקולין, אונקלי, read with ed. Zuck. אינפולי].—3) Trnsf. (medic.) bent cartilage, esp. the cartilage (cart. ensiformis) at the end of the sternum which, being bent inside, presses on the stomach and creates nausea &c. Ab. Zar. 29a מעלין א' וכ' you are permitted to lift the cartilage on the Sabbath (by means of a bandage &c.).  Ib. מאי א' וכ' what unklay is meant? Ans. the cartilage in front of the heart; v. אִיסְתּוֹמְכָא. | "
