Dictionary ID,Greek Entry,Entry,Definition
Jastrow 12,αὐ,"אַב־,  אֶבְ־","a prefix of words of Greek origin answering to αὐ-, au-, e.g. אבטומטוס = αὐτόματος; or to εὐ, e.g. אבגינוס = εὐγενής."
Jastrow 12,εὐ,"אַב־,  אֶבְ־","a prefix of words of Greek origin answering to αὐ-, au-, e.g. אבטומטוס = αὐτόματος; or to εὐ, e.g. אבגינוס = εὐγενής."
Klein 16,εὐγενής (eugenes),אֶבְגִינוֹס,"of noble descent, noble. PBH [Gk. eugenes (= well-born), from eu (= well), and genos (= race, descent, gender, kind), which is cogn. with L. genus (= birth, descent, origin, race, sort, kind, class; sex, gender). See ‘eu-’ and ‘genus’ in my CEDEL and cp. ‘eugenic’ ibid. cp. also אֶבְגֵּנִיקָה.]"
Jastrow 27,εὐγενής,"אֶבְגִּינוֹס,  אֶוְוגִּינוֹס,  אֶוְגִּינֵס","(corr. נֵיס—εὐγενής) of noble descent.  Koh. R. beg.; a. fr. (Midr. Till. to Ps. I אביינוס; Cant. R. beg. אווגיטוס, corr. acc.).—Pl. Yalk. Ps. 863 שהוא אֶוְגְּנֵסִין (read בן א') he is the son of nobles; Midr. Till. to Ps. CV בן גנסין (corr. acc.) cmp. גְּנִיס."
Jastrow 28,εὐγενέστατοι,אֶבְגְּנִיסְטֵי,"(read סְטָטֵי—), אֶוְוגִּינִיסְטָאטֵי m. pl. (εὐγενέστατοι) most noble.  Ruth R. to I, 2. Midr. Sam. ch. I."
Jastrow 39,Εὔτοκος,אֶבְדּוֹקוֹס,"(Εὔτοκος) Ebdocus (Eutocus).  Y. Meg. III, 74a bot. rendered in a secret political letter טוב ילד Good-Child. (Ed. קום—, קין—corr. acc.)"
Jastrow 41,Εὔδημος,אֶבְדִּימוֹס,"(Εὔδημος) Ebdimos, Eudemus.  Y. Keth. XI, 34b; mostly abbrev. אבדימא, אבדימי (corrupt. אבדומי, אבודמא, אבודמי), name of several Amoraim, the most prominent: Eb. of Zepphoris. Y. Ber. IV, 8a; a. fr. [V. Frankel Mebo, s. v.] V. וַרְדִּימוֹס."
Jastrow 51,ἱπποβάτης,"אבהנוס,  אבהונוס","Y. Kil. III, 31c Ar. (ed. אבחטס, read אַמְבָּטִיס q. v. or אִיפּוֹבַּטֵיס (ἱπποβάτης) stallion ass for mares."
Jastrow 90,Εὐπόλεμος,אַבְטוֹלְמוֹס,"(prob. Πτολεμαῖος, or Εὐπτόλεμος = Εὐπόλεμος) Abtolmos.  Erub. III, 4 (35a) ed. (Ms. M. אבטולס). Ib. 36a; Y. ib. 21a bot. אבטילס (v. Rabb. D. S. Erub. l. c., notes). Ex. R. s. 21 (אבטלוס) אבטוליס.—M. Kat. 18a אֲבִיטוּל (prob. abbrev. of our w.), surnamed ספראה (v. Rabb. D. S. a. l.), an Amora."
Jastrow 90,Εὐπτόλεμος,אַבְטוֹלְמוֹס,"(prob. Πτολεμαῖος, or Εὐπτόλεμος = Εὐπόλεμος) Abtolmos.  Erub. III, 4 (35a) ed. (Ms. M. אבטולס). Ib. 36a; Y. ib. 21a bot. אבטילס (v. Rabb. D. S. Erub. l. c., notes). Ex. R. s. 21 (אבטלוס) אבטוליס.—M. Kat. 18a אֲבִיטוּל (prob. abbrev. of our w.), surnamed ספראה (v. Rabb. D. S. a. l.), an Amora."
Jastrow 90,Πτολεμαῖος,אַבְטוֹלְמוֹס,"(prob. Πτολεμαῖος, or Εὐπτόλεμος = Εὐπόλεμος) Abtolmos.  Erub. III, 4 (35a) ed. (Ms. M. אבטולס). Ib. 36a; Y. ib. 21a bot. אבטילס (v. Rabb. D. S. Erub. l. c., notes). Ex. R. s. 21 (אבטלוס) אבטוליס.—M. Kat. 18a אֲבִיטוּל (prob. abbrev. of our w.), surnamed ספראה (v. Rabb. D. S. a. l.), an Amora."
Jastrow 91,αὐτόματον,אַבְטוֹמְטוֹס,"(αὐτόματος) self-moving, self-growing, spontaneous.  Midr. Till. to Ps. I, 5 האומרים א' הוא העולם Mus. (ed. טומטום, corr. acc.) who say the universe is a self-moving power (has no creator). [Better: אַבְטוֹמְטוֹן (αὐτόματον, S.) chance.]"
Jastrow 91,αὐτόματος,אַבְטוֹמְטוֹס,"(αὐτόματος) self-moving, self-growing, spontaneous.  Midr. Till. to Ps. I, 5 האומרים א' הוא העולם Mus. (ed. טומטום, corr. acc.) who say the universe is a self-moving power (has no creator). [Better: אַבְטוֹמְטוֹן (αὐτόματον, S.) chance.]"
Jastrow 92,αὐτονομία,*אַבְטוֹנִיּוֹת,"(= אַבְטוֹנוֹמִיּוֹת; αὐτονομία; v. Sm. Ant. s. v. Autonomi) cities enjoying their own laws, jurisdictions.  Y. Meg. I, 70a bot. שני א' (read שתי). Y. B. Bath. III, 14a top אבטנ'; Bekh. 55a שני אבטילאות (corr. acc., Ar. אבטלאות, אבטליות). [Cmp. corruptions of אַגְרוֹנִימוֹס.]"
Jastrow 97,τηβέννα,*אבטיגא,", Var. חגה Sifré Deut. 80 (v. ed. Friedm. a. l. note 3), read טוֹגָא (toga) or טִיבִינָּא (τηβέννα) Roman toga."
Jastrow 98,ὀπτίων,*אָבְטְיוֹנָא,"(ὀπτίων, optio; Perl. Et. St. p. 103; D.  C. Lat. s. v.) commissary, quartermaster in the Roman army. Y. Sabb. VI, 8c bot. אתא א' וכ' a Roman quarterm. came and made him stand behind him (in the public convenience)."
Klein 99,ἄμβιξ (ambix),אַבִּיק,"alembic, retort. NH [Prob. from Gk. ambix (= cup, cup of a still, alembic). Whence also Arab. al-anbiq. Of uncertain origin. See ‘alembic’ in my CEDEL.]"
Jastrow 164,αὔλισμος,*אַבְלוּסְמוֹס,(αὔλισμος) night-lodging in open air.  כלי א' camping apparels (leather covers etc.). Zeb. 94a Ar. (ed. אַכְסִלְגְיָא q. v.).
Jastrow 168,ἐβέλινος,*אַבְלִינָא,"(ἐβέλινος = ἐβένινος S.) ebony-wood.  Y’lamd. B’haal. מטות של א' (quot. in Ar., Tanḥ. a. Num. R. s. 14 only … מנורות) couches of ebony wood. [Jellin. Beth Hammidr. VI, 88, Nr. 53 אבליגא.]"
