Unnamed: 0,Greek Entry,Entry,Definition,IsRoman,PossibleGreek
1952,Acetyl,אֲצֶטִילֶן,"acetylene (chemistry).  [Fren. acétylène, coined by the French chemist Marcelin-Pierre-Eugène Berthelot (1823–1907) from acetyl, from Gk. Acetyl, a hybrid coined by the German chemist Justus von Liebig in 1839 from L. acētum (see אֲצֵטוֹן) and suff. ‘-yl’.] | ",True,[]
11007,akostikos,□י," subst. suff. (f. □ִיָּה and □ִית, pl. □ִיִּים, f. □ִיּוֹת).  [Related to Arab. - iyy, Aram. □ַי, Ethiop. - y, -ay. It is very prob. that the old Sem. gen. suff. - ī is traceable to this suff.] This suff. is frequently used in NH. It denotes relationship to a people, tribe, place or country, hence forms before all patronymics and gentilics; cp. e.g. עִבְרִי (= Hebrew), יִשְׂרְאֵלִי (= Israelite), אֲרַמִּי (= Aramean), חִתִּי (= Hittite). It also forms ordinal numbers, as in שֵׁנִי (= second), שְׁלִישִׁי (= third), etc. It is also added to names of things to denote connectedness with them; cp. רַגֽלִי (= footman), from רֶגֶל (= foot). Suff. □ִי sometimes appears behind adj. suff. □וֹן, as in קַדְמוֹנִי (= eastern), אַדְמוֹנִי (= reddish). In NH suff. □ִי often represents Gk. - ikos (or its derivatives), L. - icus, Fren. - ique, Eng. - ic. cp. e.g. אֲקוּסְטִי, corresponding to Eng. acoustic, from Fren. acoustique, from Gk. akostikos. cp. adv. suff. □ִית. cp. also suff. □ָתִי and suff. תָּנִי.] | ",True,[]
9658,amonon,חֲמָם,"Amomum (a genus of plants).  [Together with Syr. חֲמַאֽמָא, Arab. ḥamāma (= a spice plant), prob. derived from חמם (= to be warm). Gk. amonon (= a spice plant), whence L. amōmum (of s.m.) is of Sem. origin.] | ",True,[]
19387,anaklita,נַקְלִיט,"bed pole.  [From Gk. anaklita (= things leaned), neuter pl. of anaklitos, p. part. of anaklinein (= to make to lie back, to lean one thing against another), from ala (= up, on, upon), and klinein (= to cause to slope, slant, incline). See קְלִינִי.] | ",True,[]
512,ankyle,"אוּנְקָל,  אוּנְקְלִי","hook.  [A loan word from Gk. ankyle (= bend of the arm, hook), which is related to ankylos (= crooked, curved), ankol (= elbow), and cogn. with L. ancus (= crooked, curved), angulus (= angle, corner). See ‘angle’ (corner), and ‘angle’ (fishhook) in my CEDEL.] | ",True,[]
1562,antagonisma,אַנְטָגוֹנִיזְם,"antagonism.  [Gk. antagonisma, from antagonizesthai (= to struggle against), from anti (see אַנְטִי□) and agonizesthai (= to struggle), from agon (= assembly; contest in the games), from agein (= to lead, guide), which is cogn. with L. agere (= to set in motion, drive, lead). See ‘agent’ (adj.) in my CEDEL. For the ending see suff. □ִיזֽם.] | ",True,[]
1860,aphente,אֶפֶנְדִּי,"‘effendi’.  [Turkish efendi (= master), from Med. Gk. aphente, from Gk. authentes (= an absolute master or ruler; murderer), which is short for auto-entes from autos (= self), which is of uncertain origin, and entes (= one who does a thing himself).] | ",True,[]
1910,Apro,אַפְּרִיל,"April, name of the fourth civil month.  [L. (mēnsis) Aprīlis (lit.: ‘the month of Aphrodite’). from Gk. Apro, a short form of Aphrodite. cp. L. (mēnsis) Maius (= the month of May; properly ‘the month of Jupiter Maius’); see מַאי.] | ",True,[]
3020,ballíxein,בַּלֶּט,"ballet.  [Fren., from It. balleto, dimin. of ballo (= dance), from Vulgate L. ballāre, from Gk. ballíxein (= to dance), which prob. derives from ballein (= to throw). See בַּלִיסְטִיקָה and cp. בַּלָּדָה.] | ",True,[]
3375,baras,בָּרוֹגְרָף,"barograph.  [Compounded of Gk. baras (= weight), and – graphos, from the stem of graphein (= to write). Gk. baros derives from IE base *gwer– (= heavy), whence also L. gravis (= heavy, weighty). For the etymology of Gk. graphein see גּֽרָף. cp. בְּרוּטָלִי. cp. also גּֽרָבִיטַצְיָה and the first element in בָּרוֹמֶטֶר.] | ",True,[]
2985,beledarios,בַּלְדָּר,"1 courier. [From Gk. beledarios, L. veredārius (= courier, postboy); of uncertain etymology. cp. דֹּאַר.] 2postman.  [From Gk. beledarios, L. veredārius (= courier, postboy); of uncertain etymology. cp. דֹּאַר.]  | ",True,[]
2832,bibarion,בֵּיבָר,"zoological garden.  [Gk. bibarion, identical with L. vīvārīum (= a place where living animals are kept), properly, neuter of the adj. vivarius (= pertaining to living creatures), used as a noun, from vīvere (= to live).] | ",True,[]
2917,boethos,בַּיְתּוֹסִי,"Boethusian, member of a Jewish sect related to the Sadducees.  [Lit.: follower of בַּיֽתּוֹס (= Boethus), from Gk. boethos, name of a priest whose son was made high priest by Herod the Great.] | ",True,[]
2613,botaniche,בּוֹטָנִיקָה,"botany.  [Fren. botanique, from Gk. botaniche (= knowledge of botany), from botane (= pasture, fodder).] | ",True,[]
3387,bramos,בְּרוֹם,"bromine (chemistry).  [Fren. brome (= bromine), coined by its discoverer, the French chemist Antoine Jérôme Balard (1802–76) from Gk. bramos (= noisome smell), identical with bromos (= any loud noise), which is related to bremein (= to clash, roar), bronte (= thunder), from *brem–, a variant of IE base *bhrem, whence L. fremere (= to roar, resound, murmur).] | ",True,[]
2621,bulos,בּוּל," block, lump.  [Akka. bulu (= a block of dry wood), Gk. bulos (= a lump of earth).] | ",True,[]
12112,chalkisidos,כַּלְכִּיד,"name of a fish; prob. a kind of sardine.  [According to some scholars a loan word from Gk. chalkisidos, name of a migratory fish, prob. the sardine. cp. כִּלְכִּית.] | ",True,[]
12024,cheiroergos,כִּירוּרְג,"surgeon.  [From Gk. cheiroergos (= working by hand), which is compounded of cheir (= hand) and ergon (= work).] | ",True,[]
11891,choreus,כּוֹרֵיאוֹגְרָף,"choreographer.  [Compounded of Gk. choreus (= dance) and graphos, from graphein (= to write). The first element derives from choros (= dance in a ring, dance; chorus, choir), which derives from IE ĝher (= to seize, take, hold, close, envelop). See ‘chorus’ in my CEDEL. For the second element see □גְרָף. cp. כּוֹרֵיאוּס, כּוֹרָל.] | ",True,[]
5518,damaskanon,דַּרְמַסְקִין,"Damascus plum, damson.  [From Gk. damaskanon, from Damaskos (= Damascus), from Heb. דַּמֶּשֶׂק. cp. ‘damson’ in my CEDEL.] | ",True,[]
5101,delator,דֵּילָטוֹר,"slanderer, informer.  [Late Gk. delator (= accuser, informer, denouncer), from L. dēlātor, from dēlātus. used as p. part. of dēferre (= to bring or carry down, indict, inform against). See ‘delate’ and adj. suff. ‘–ory’ in my CEDEL. cp. דֵּילָטוֹרְיָה.]  | ",True,[]
5102,delatoria,דֵּילָטוֹרְיָה,"calumny, slander.  [Late Gk. delatoria, from delator (see דֵּילָטוֹר).] | ",True,[]
5260,Delphike,דֶּלְפֵּק,"1small tripod, small table. [Perhaps of Gk. Delphike (= a table from Delphi).] 2counter.  [Perhaps of Gk. Delphike (= a table from Delphi).]  | ",True,[]
4926,dischistos,דּוּכְסוּסְטוֹס," an inferior kind of parchment.  [From Gk. dischistos (= divided, parted), from di (see דִּי□) and schistos (= split, divided), p. part. of schizein (= to split, divide), which is related to schazein (= to scratch), and cogn. with L. scindere (= to cut, split, cleave).] | ",True,[]
30980,dodechadachtulon,תְּרֵיסַרְיָן,"duodenum (anatomy).  [Formed from תְּרֵיסָר with suff. □ִן; properly loan translation of Gk. dodechadachtulon (= duodenum), lit.: ‘twelve fingers long’; so called by the Greek physician Herophilus (c. 353–280 B.C.E.) for its alleged length of 12 fingers breadth. See ‘duodenum’ in my CEDEL.] | ",True,[]
4902,dodekahedron,דּוֹדֶקָאֶדֶר,"dodecahedron (geometry).  [Gk. dodekahedron (= lit.: ‘having twelve faces’), from dodeka (= twelve), and hedra (= seat, chair, bench; side, face). Gk. dodeka is shortened from duodeka, from duo (= two; see דּוּ□), and deka (= ten; see דֶּקָדָה). Gk. hedra stands for * sedrā and is cogn. with L. sedēre (= to sit). See the first element in דוֹדֶקָגוֹן and cp. אַסֽלָה, סַנְהֶדְרִין and the second element in פּוֹלִיאֶדֶר. See also אַכְסַדְרָה and cp. words there referred to.] | ",True,[]
955,dolichos,אִינְדּוּלְגֶּנְצְיָה,"indulgence.  [L. indulgentia (= indulgence, gentleness, complaisance), from indulgēus, pres. part. of indulgēre (= to be kind, yield, indulge in), orig. ‘to be long-suffering, be bearing, be patient’, which is cogn. with Old I. dīrgháh, Gk. dolichos (= long). See ‘dolicho-’ in my CEDEL.] | ",True,"['δολιχόσ1', 'δόλιχοσ2']"
5525,dragon,דְּרָקוֹן,"dragon.  [From Gk. dragon (= a kind of serpent; dragon), which prob. means lit. ‘the sharp-sighted one’, and is related to derkesthai (= to look at), from IE base *derk̑–, drk̑– (= to see, look at). See ‘dragon’ in my CEDEL.] | ",True,[]
4980,drus,דּוּר,"major (music).  [It. duro (= hard), from L. dūrus (= hard, rough, rude), prob. dissimilated from drū-ros, for dreu-ros, and lit. meaning ‘as hard as wood’, from IE base * derew(o)–, * drew(o)-, * dru- (= tree, wood), whence also Gk. drus (= oak, tree), doru (= stem, tree, beam, shaft of a spear, spear), Old I. dru- (= wood, wooden vessel), dā́ru (= wood). See ‘tree’ in my CEDEL and cp. ‘dure’ ibid. | ",True,[]
1027,eikoncon,אִיקוֹנִין," likeness, image, picture, portrait.  [Borrowed from Gk. eikoncon (dimin. of likeness, image), which is related to eikos (= similar, like, is like, is fit). See ‘icon’ in my CEDEL. cp. דְיוֹקָן.] | ",True,[]
8149,el,וָזֶלִין,"vaseline.  [Coined by R.A. Chesebrough in 1877 from vas–, short for Ger. Wasser (= water), – el, from Gk. el-aion (= oil), from Gk. elaia (= olive tree), and suff. -ine.] | ",True,"['ελ', 'ἧλ']"
22719,el,פִּיל,"elephant.  [Related to Aram.–Syr. פִּילָא, Akka. pīru, pīlu, Pers. pīl, whence Arab. fīl (= elephant). All these words are prob. borrowed (through Egyptian mediation) from Hamitic eḷu (= elephant). whence also the first element in Gk. el-ephas (= elephant), to which p–, the Egyptian art., was prefixed.]  | ",True,"['ελ', 'ἧλ']"
29031,el,שֶׁנְהַב," ivory (in the Bible occurring only Kin. I 10:22, Chr. II 9:21, in the pl.).  [The word שֶׁנְהַב is compounded of שֵׁן (= tooth; see שֵׁן), and הַב, also יֵב (= elephant), properly the same word as Egypt. āb, ābu (= elephant; ivory). The same word appears also in Yebu, original name of the island Elephantine. From Egypt. āb, ābu derives also L. ebur (= ivory), prob. through the medium of the Phoenicians. From L. ebur, eboris comes the adj. eboreus (= of ivory), whence Fren. ivurie, ivoire, whence Eng. ivorie, ivory. cp. the second element in Gk. el-ephas (= elephant). cp. also ‘ivory’ and ‘elephant’ in my CEDEL.]  | ",True,"['ελ', 'ἧλ']"
13018,eleuderos,לִיבֶּרָל,"a liberal.  [From L. līberālis (= pertaining to freedom, befitting a free man, honorable, noble, gracious), from līber (= free), from IE base leudhero-s, whence also Gk. eleuderos (= free). This base prob. meant orig. ‘belonging to the people’, hence ‘of legal descent’, and derives from leudho-, leudhi- (= people).  | ",True,[]
1352,embate,"אַמְבָּט,  אַמְבָּטִי","bath, bathtub.  [Borrowed from Gk. embate (of s.m.), from embatein (= to go into), from en (= in) and bainein (= to go).]  | ",True,[]
1633,empilion,אַנְפִּילָה," felt shoe, felt slipper.  [Gk. empilion (= felt shoe), formed from en (= in) and pilos (= felt), which is prob. cogn. with L. pilleus (= felt cap), pilus (= hair). cp. ‘pile’ (= soft hair) in my CEDEL.] | ",True,[]
1640,enkyklopaideia,אֶנְצִיקְלוֹפֵּדְיָה,"encyclopedia.  [Late L. encyclopaedia, from inexact Gk. enkyklopaideia, for enkyklios paideia (= circular education, general education), lit.: ‘training in a circle’. Enkyklios is formed from en (= in) and kyklos (= circle). Paideia derives from the stem paideyein (= to rear or bring up a child, to educate), from pais, gen. paidos (= a child), from IE base *pĕu- (= small, little, few, young). See ‘cycle’ and ‘few’ in my CEDEL and cp. the first element in פֶּדָגוֹג. For the ending see suff. □יָה.] | ",True,[]
1786,epopoia,אֶפּוֹפֵּיָה," epopee.  [Fren. épopée, from Gk. epopoia (= an epic poem, epic poetry), from epopoios (= an epic poet), which is compounded of epos (see אֶפּוֹס) and poiein (= to make, produce, create). See פִּיּוּט.] | ",True,[]
2071,ergalia,אֶרְגַּלְיָה,"tools, instruments.  [Gk. ergalia, pl. of ergaleion (= tool, instrument), from ergon (= work). See אֶרְגּֽ and cp. words there referred to.] | ",True,[]
1712,eschala,אַסְכָּלָה,"grill, grid.  [Gk. eschala (= hearth, fireplace), which is of uncertain origin.] | ",True,[]
2361,ethicos,אֶתִּיקָה,"ethics.  [Gk. ethicos (= pertaining to morals, moral), from ethos (= habit, custom, usage, disposition, character, moral), which is related to ethezein (= to accustom), eiotha (= I am accustomed), and cogn. with Old I. svadhā (= custom, peculiarity), L. sodālis (= fellow, companion), suēscere (= to become accustomed). The orig. meaning of all these words was ‘property, peculiarity’. They are traceable to IE *swedh-, a compound base lit. meaning ‘to make one’s own’, formed from the reflexive base *swe- (= his own), and *dhē (= to make do). cp. first element in אֶתְנוֹגְרַפְיָה, אֶתְנַרֽךְ. | ",True,"['ἐθικόσ', 'ἠθικόσ']"
14416,ethikos,מוֹרָל,"moral, morale, morality.  [From L. morālis (= pertaining to manners), from mōs, genitive mōris (= manner, habit, custom), which is of uncertain origin. For the ending see adj. suff. ‘-al’ in my CEDEL. L. mōrālis is properly a loan translation of Gk. ethikos (= pertaining to moral), from ethos (= habit, custom, moral).]  | ",True,"['ἐθικόσ', 'ἠθικόσ']"
2346,ethos,אֶתוֹס,"ethos.  [Gk. ethos (= habit, custom, usage, disposition, character, moral.] | ",True,"['ἔθοσ', 'ἦθοσ']"
2377,etnarches,אֶתְנַרְךְ,"ethnarch.  [Gk. etnarches (= ruler of the people), from ethnos (= people), and arches (= leader, chief, ruler), from the stem of archein (= to begin; to rule). See אֶתֽנוֹגְרֵפֽיָה and אַרְכִי.] | ",True,[]
4330,gangraina,גַּנְגְרֵינָה,"gangrene.  [L. gangraena, from Gk. gangraina (= lit.: ‘that which eats away’), formed through reduplication from gran, granein (= to gnaw, eat).] | ",True,[]
4030,geeina,"גֵּיהִנּוֹם,  גֵּיהִנָּם"," hell.  [ig.[[illegible]] spelt גֵּי־הִנּוֹם and meaning ‘the valley of Hinnom’, shortened from גֵּי בֶן־הִנּוֹם (= the valley of the son of Hinnom), a valley south-west and south of the old city of Jerusalem where children were sacrificed to Moloch; see גַּי. Arab. jahannam (= hell) is borrowed from גֵּיהִנָּם. Gk. geeina is also a Heb. loan word.]  | ",True,[]
21611,ghanna,ענן," to practice soothsaying.  [A base of uncertain origin. The connection with עָנָן (= cloud), as if ענן would lit. mean ‘to divine from the form of the clouds’, has been given up by most scholars. Some connect ענן II with Arab. ‘anna (= it appeared, presented itself). Others compare it with Gk. ghanna (= he spoke through the nose), ghunnah (= nasal twang). According to them ענן II would lit. mean ‘to hum or croon after the manner of diviners’. See ענה III.]  | — Po..  עוֹנֵן  he practiced soothsaying.  ",True,[]
4186,glykis,גְּלִיקוֹגֶן,glycogen (chemistry).  [Coined by the French physiologist Claude Bernard in 1848 from Gk. glykis (= sweet). See גּֽלוּקוֹזָה and cp. גּֽלִיצֶרִין.] | ,True,[]
